Rank,Name,Year,Rating
1, The Shawshank Redemption,1994,9.3 (2.9M)
2, The Godfather,1972,9.2 (2M)
3, The Dark Knight,2008,9.0 (2.9M)
4, The Godfather: Part II,1974,9.0 (1.4M)
5, 12 Angry Men,1957,9.0 (858K)
6, Schindler's List,1993,9.0 (1.4M)
7, The Lord of the Rings: The Return of the King,2003,9.0 (2M)
8, Pulp Fiction,1994,8.9 (2.2M)
9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M)
10," Il Buono, Il Brutto, Il Cattivo",1966,8.8 (807K)
11, Dune: Part Two,2024,8.9 (205K)
12, Forrest Gump,1994,8.8 (2.2M)
13, The Lord of the Rings: The Two Towers,2002,8.8 (1.8M)
14, Fight Club,1999,8.8 (2.3M)
15, Inception,2010,8.8 (2.5M)
16, Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M)
17, The Matrix,1999,8.7 (2M)
18, GoodFellas,1990,8.7 (1.2M)
19, One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
20, Se7en,1995,8.6 (1.8M)
21, It's a Wonderful Life,1946,8.6 (497K)
22, Interstellar,2014,8.7 (2.1M)
23, Shichinin No Samurai,1954,8.6 (365K)
24, The Silence of the Lambs,1991,8.6 (1.5M)
25, Saving Private Ryan,1998,8.6 (1.5M)
26, City of God,2002,8.6 (797K)
27, Life Is Beautiful,1997,8.6 (739K)
28, The Green Mile,1999,8.6 (1.4M)
29, Terminator 2: Judgment Day,1991,8.6 (1.2M)
30, Star Wars: Episode IV - A New Hope,1977,8.6 (1.4M)
31, Back to the Future,1985,8.5 (1.3M)
32, Spirited Away,2001,8.6 (842K)
33, The Pianist,2002,8.5 (905K)
34, Spider-man: Across the Spider-verse,2023,8.6 (356K)
35, Parasite,2019,8.5 (945K)
36, Psycho,1960,8.5 (715K)
37, Gladiator,2000,8.5 (1.6M)
38, The Lion King,1994,8.5 (1.1M)
39, Léon,1994,8.5 (1.2M)
40, The Departed,2006,8.5 (1.4M)
41, American History X,1998,8.5 (1.2M)
42, Whiplash,2014,8.5 (978K)
43, The Prestige,2006,8.5 (1.4M)
44, Grave of the Fireflies,1988,8.5 (307K)
45, Seppuku,1962,8.6 (68K)
46, The Usual Suspects,1995,8.5 (1.1M)
47, Casablanca,1942,8.5 (603K)
48, Intouchables,2011,8.5 (923K)
49, Cinema Paradiso,1988,8.5 (281K)
50, Modern Times,1936,8.5 (258K)
51, Rear Window,1954,8.5 (520K)
52, C'era Una Volta Il West,1968,8.5 (348K)
53, Alien,1979,8.5 (944K)
54, City Lights,1931,8.5 (195K)
55, 12th Fail,2023,9.1 (104K)
56, Apocalypse Now,1979,8.4 (706K)
57, Django Unchained,2012,8.5 (1.7M)
58, Memento,2000,8.4 (1.3M)
59, WALL·E,2008,8.4 (1.2M)
60, Raiders of the Lost Ark,1981,8.4 (1M)
61, Das Leben der Anderen,2006,8.4 (408K)
62, Sunset Blvd,1950,8.4 (235K)
63, Paths of Glory,1957,8.4 (211K)
64, Avengers: Infinity War,2018,8.4 (1.2M)
65, Spider-Man: Into the Spider-Verse,2018,8.4 (664K)
66, The Shining,1980,8.4 (1.1M)
67, Witness for the Prosecution,1957,8.4 (137K)
68, The Great Dictator,1940,8.4 (236K)
69, Alien 2,1986,8.4 (759K)
70, Inglourious Basterds,2009,8.4 (1.6M)
71, The Dark Knight Rises,2012,8.4 (1.8M)
72, Dr,1964,8.4 (516K)
73, American Beauty,1999,8.3 (1.2M)
74, Oldeuboi,2003,8.3 (631K)
75, Coco,2017,8.4 (584K)
76, Amadeus,1984,8.4 (425K)
77, Toy Story,1995,8.3 (1.1M)
78, Das Boot,1981,8.4 (263K)
79, Braveheart,1995,8.3 (1.1M)
80, Avengers: Endgame,2019,8.4 (1.3M)
81, Joker,2019,8.4 (1.5M)
82, Mononoke-hime,1997,8.3 (430K)
83, Good Will Hunting,1997,8.3 (1.1M)
84, Kimi No Na Wa,2016,8.4 (316K)
85, Once Upon a Time in America,1984,8.3 (376K)
86, Oppenheimer,2023,8.4 (675K)
87, Tengoku to Jigoku,1963,8.4 (52K)
88, 3 Idiots,2009,8.4 (432K)
89, Singin' in the Rain,1952,8.3 (259K)
90, Capharnaüm,2018,8.4 (104K)
91, Requiem for a Dream,2000,8.3 (894K)
92, Idi I Smotri,1985,8.4 (96K)
93, Toy Story 3,2010,8.3 (888K)
94, Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M)
95, Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M)
96, Jagten,2012,8.3 (362K)
97, 2001: A Space Odyssey,1968,8.3 (715K)
98, Reservoir Dogs,1992,8.3 (1.1M)
99, Ikiru,1952,8.3 (87K)
100, Lawrence of Arabia,1962,8.3 (312K)
101, The Apartment,1960,8.3 (196K)
102, North by Northwest,1959,8.3 (345K)
103, Citizen Kane,1941,8.3 (464K)
104, M - Eine Stadt sucht einen Mörder,1931,8.3 (168K)
105, Vertigo,1958,8.3 (425K)
106, Double Indemnity,1944,8.3 (167K)
107, Incendies,2010,8.3 (197K)
108, Scarface,1983,8.3 (910K)
109, Le fabuleux destin d'Amélie Poulain,2001,8.3 (791K)
110, Full Metal Jacket,1987,8.3 (786K)
111, A Clockwork Orange,1971,8.3 (877K)
112, Heat,1995,8.3 (715K)
113, Up,2009,8.3 (1.1M)
114, To Kill a Mockingbird,1962,8.3 (332K)
115, The Sting,1973,8.3 (278K)
116, Jodaeiye Nader Az Simin,2011,8.3 (257K)
117, Indiana Jones and the Last Crusade,1989,8.2 (807K)
118, Die Hard,1988,8.2 (941K)
119, Metropolis,1927,8.3 (185K)
120, Taare Zameen Par,2007,8.3 (206K)
121, Hamilton,2020,8.3 (112K)
122, Snatch,2000,8.2 (905K)
123, L,1997,8.2 (615K)
124, Ladri Di Biciclette,1948,8.3 (174K)
125, 1917,2019,8.2 (669K)
126, Taxi Driver,1976,8.2 (914K)
127, Der Untergang,2004,8.2 (374K)
128, Dangal,2016,8.3 (209K)
129, Per qualche dollaro in più,1965,8.2 (273K)
130, Batman Begins,2005,8.2 (1.6M)
131, The Wolf of Wall Street,2013,8.2 (1.6M)
132, Some Like It Hot,1959,8.2 (282K)
133, The Kid,1921,8.2 (134K)
134, Green Book,2018,8.2 (563K)
135, The Father,2020,8.2 (190K)
136, Top Gun: Maverick,2022,8.2 (683K)
137, Judgment at Nuremberg,1961,8.3 (85K)
138, All About Eve,1950,8.2 (138K)
139, The Truman Show,1998,8.2 (1.2M)
140, There Will Be Blood,2007,8.2 (638K)
141, Shutter Island,2010,8.2 (1.4M)
142, Casino,1995,8.2 (560K)
143, Ran,1985,8.2 (135K)
144, Jurassic Park,1993,8.2 (1.1M)
145, The Sixth Sense,1999,8.2 (1M)
146, El Laberinto Del Fauno,2006,8.2 (700K)
147, Unforgiven,1992,8.2 (434K)
148, A Beautiful Mind,2001,8.2 (982K)
149, No Country for Old Men,2007,8.2 (1.1M)
150, The Thing,1982,8.2 (463K)
151, The Treasure of the Sierra Madre,1948,8.2 (132K)
152, Kill Bill: Vol,2003,8.2 (1.2M)
153, Yojimbo,1961,8.2 (131K)
154, Monty Python and the Holy Grail,1975,8.2 (568K)
155, The Great Escape,1963,8.2 (258K)
156, Finding Nemo,2003,8.2 (1.1M)
157, Rashōmon,1950,8.2 (179K)
158, Hauru No Ugoku Shiro,2004,8.2 (444K)
159, Prisoners,2013,8.2 (802K)
160, The Elephant Man,1980,8.2 (257K)
161, Chinatown,1974,8.1 (348K)
162, Dial M for Murder,1954,8.2 (188K)
163, Gone with the Wind,1939,8.2 (333K)
164, V for Vendetta,2005,8.2 (1.2M)
165," Lock, Stock and Two Smoking Barrels",1998,8.1 (613K)
166, El Secreto De Sus Ojos,2009,8.2 (221K)
